VM Size,Family,vCPUs,RAM (GiB),Data disks,Max IOPS,Temp storage (GiB),Premium disk,Eviction rate,Cost/hour
DS1_v2,General purpose,1,3.5,4,3200,7,Supported,5-10%,$0.02577 (65%)
D2s_v3,General purpose,2,8,4,3200,16,Supported,15-20%,$0.03749 (61%)
D2as_v4,General purpose,2,8,4,3200,16,Supported,20+%,$0.02159 (78%)
DS2_v2,General purpose,2,7,8,6400,14,Supported,10-15%,$0.05154 (65%)
D4s_v3,General purpose,4,16,8,6400,32,Supported,15-20%,$0.07498 (61%)
DS3_v2,General purpose,4,14,16,12800,28,Supported,5-10%,$0.10343 (65%)
D8s_v3,General purpose,8,32,16,12800,64,Supported,10-15%,$0.14995 (61%)
D2as_v4,General purpose,2,8,4,3200,16,Supported,20+%,$0.02159 (78%)
D2ds_v4,General purpose,2,8,4,3200,75,Supported,0-5%,$0.02141 (81%)
D2s_v4,General purpose,2,8,4,3200,0,Supported,0-5%,$0.01778 (81%)
D4as_v4,General purpose,4,16,8,6400,32,Supported,5-10%,$0.04318 (78%)
D4ds_v4,General purpose,4,16,8,6400,150,Supported,20+%,$0.04283 (81%)
D4s_v4,General purpose,4,16,8,6400,0,Supported,15-20%,$0.03556 (81%)
D8as_v4,General purpose,8,32,16,12800,64,Supported,0-5%,$0.08636 (78%)
D8ds_v4,General purpose,8,32,16,12800,300,Supported,0-5%,$0.08565 (81%)
D8s_v4,General purpose,8,32,16,12800,0,Supported,20+%,$0.07112 (81%)
D16as_v4,General purpose,16,64,32,25600,128,Supported,5-10%,$0.17272 (78%)
D16ds_v4,General purpose,16,64,32,25600,600,Supported,20+%,$0.17131 (81%)
D16s_v4,General purpose,16,64,32,25600,0,Supported,5-10%,$0.14223 (81%)
D32as_v4,General purpose,32,128,32,51200,256,Supported,0-5%,$0.34545 (78%)
D32ds_v4,General purpose,32,128,32,51200,1200,Supported,20+%,$0.34262 (81%)
D32s_v4,General purpose,32,128,32,51200,0,Supported,20+%,$0.28447 (81%)
D48as_v4,General purpose,48,192,32,76800,384,Supported,0-5%,$0.51817 (78%)
D48ds_v4,General purpose,48,192,32,76800,1800,Supported,0-5%,$0.51392 (81%)
D48s_v4,General purpose,48,192,32,76800,0,Supported,0-5%,$0.42670 (81%)
D64as_v4,General purpose,64,256,32,80000,512,Supported,0-5%,$0.69089 (78%)
D64ds_v4,General purpose,64,256,32,80000,2400,Supported,20+%,$0.68523 (81%)
D64s_v4,General purpose,64,256,32,80000,0,Supported,10-15%,$0.56893 (81%)
D96as_v4,General purpose,96,384,32,80000,768,Supported,0-5%,$1.03634 (78%)
A1_v2,General purpose,1,2,2,2x500,10,Not supported,20+%,$0.01367 (68%)
A2_v2,General purpose,2,4,4,4x500,20,Not supported,0-5%,$0.02894 (68%)
A2m_v2,General purpose,2,16,4,4x500,20,Not supported,0-5%,$0.03784 (68%)
A4_v2,General purpose,4,8,8,8x500,40,Not supported,20+%,$0.06074 (68%)
A4m_v2,General purpose,4,32,8,8x500,40,Not supported,10-15%,$0.07568 (68%)
A8_v2,General purpose,8,16,16,16x500,80,Not supported,0-5%,$0.12720 (68%)
A8m_v2,General purpose,8,64,16,16x500,80,Not supported,20+%,$0.15105 (68%)
DC1s_v2,Confidential compute,1,4,1,1x500,50,Supported,0-5%,$0.02079 (83%)
DC2s_v2,Confidential compute,2,8,2,2x500,100,Supported,0-5%,$0.04141 (83%)
DC4s_v2,Confidential compute,4,16,4,4x500,200,Supported,0-5%,$0.08282 (83%)
DC8_v2,Confidential compute,8,32,8,8x500,400,Not supported,0-5%,$0.16580 (83%)
E2as_v4,Memory optimized,2,16,4,3200,32,Supported,10-15%,$0.02834 (78%)
E2ds_v4,Memory optimized,2,16,4,3200,75,Supported,20+%,$0.03188 (78%)
E2s_v4,Memory optimized,2,16,4,3200,0,Supported,20+%,$0.02153 (83%)
E8-2ds_v4,Memory optimized,2,64,16,12800,300,Supported,0-5%,$0.12753 (78%)
E8-2s_v4,Memory optimized,2,64,16,12800,0,Supported,0-5%,$0.08613 (83%)
E4as_v4,Memory optimized,4,32,8,6400,64,Supported,5-10%,$0.05667 (78%)
E4ds_v4,Memory optimized,4,32,8,6400,150,Supported,20+%,$0.06376 (78%)
E4s_v4,Memory optimized,4,32,8,6400,0,Supported,0-5%,$0.04307 (83%)
E16-4ds_v4,Memory optimized,4,128,32,25600,600,Supported,20+%,$0.25505 (78%)
E16-4s_v4,Memory optimized,4,128,32,25600,0,Supported,0-5%,$0.17227 (83%)
E8as_v4,Memory optimized,8,64,16,12800,128,Supported,5-10%,$0.11335 (78%)
E8ds_v4,Memory optimized,8,64,16,12800,300,Supported,20+%,$0.12753 (78%)
E8s_v4,Memory optimized,8,64,16,12800,0,Supported,20+%,$0.08613 (83%)
E16-4ds_v4,Memory optimized,4,128,32,25600,600,Supported,20+%,$0.25505 (78%)
E16-4s_v4,Memory optimized,4,128,32,25600,0,Supported,0-5%,$0.17227 (83%)
E8as_v4,Memory optimized,8,64,16,12800,128,Supported,5-10%,$0.11335 (78%)
E8ds_v4,Memory optimized,8,64,16,12800,300,Supported,20+%,$0.12753 (78%)
E8s_v4,Memory optimized,8,64,16,12800,0,Supported,20+%,$0.08613 (83%)
E32-8ds_v4,Memory optimized,8,256,32,51200,1200,Supported,0-5%,$0.51011 (78%)
E32-8s_v4,Memory optimized,8,256,32,51200,0,Supported,0-5%,$0.34453 (83%)
E16as_v4,Memory optimized,16,128,32,25600,256,Supported,0-5%,$0.22670 (78%)
E16ds_v4,Memory optimized,16,128,32,25600,600,Supported,0-5%,$0.25505 (78%)
E16s_v4,Memory optimized,16,128,32,25600,0,Supported,20+%,$0.17227 (83%)
E64-16ds_v4,Memory optimized,16,504,32,80000,2400,Supported,0-5%,$1.02021 (78%)
E64-16s_v4,Memory optimized,16,504,32,80000,0,Supported,0-5%,$0.68907 (83%)
E20as_v4,Memory optimized,20,160,32,32000,320,Supported,0-5%,$0.28337 (78%)
E20ds_v4,Memory optimized,20,160,32,32000,750,Supported,0-5%,$0.31882 (78%)
E20s_v4,Memory optimized,20,160,32,32000,0,Supported,0-5%,$0.21533 (83%)
E32as_v4,Memory optimized,32,256,32,51200,512,Supported,0-5%,$0.45340 (78%)
E32ds_v4,Memory optimized,32,256,32,51200,1200,Supported,0-5%,$0.51011 (78%)
E32s_v4,Memory optimized,32,256,32,51200,0,Supported,0-5%,$0.34453 (83%)
E64-32ds_v4,Memory optimized,32,504,32,80000,2400,Supported,0-5%,$1.02021 (78%)
E64-32s_v4,Memory optimized,32,504,32,80000,0,Supported,0-5%,$0.68907 (83%)
E48as_v4,Memory optimized,48,384,32,76800,768,Supported,0-5%,$0.68010 (78%)
E48ds_v4,Memory optimized,48,384,32,76800,1800,Supported,0-5%,$0.76516 (78%)
E48s_v4,Memory optimized,48,384,32,76800,0,Supported,0-5%,$0.51680 (83%)
E64as_v4,Memory optimized,64,512,32,80000,864,Supported,0-5%,$0.90680 (78%)
E64ds_v4,Memory optimized,64,504,32,80000,2400,Supported,0-5%,$1.02021 (78%)
E64s_v4,Memory optimized,64,504,32,80000,0,Supported,0-5%,$0.68907 (83%)
