time,region,size,api_price,cli_price,pay_as_you_go_price,1_year_reserved_price,3_year_reserved_price,%_saving_pay_as_you_go,%_saving_1y_reserved,%_saving_3y_reserved
2021-06-30 01:40:22.848509-04:00,eastus,Standard_D2s_v3,0.036749,0.036749,0.096,0.05719178082191781,0.036834094368340946,61.719791666666666,35.7442634730539,0.23102066115703881
2021-06-30 01:40:22.848509-04:00,eastus,Standard_H8m,0.337264,0.337264,2.35,0.720662100456621,0.4730593607305936,85.64834042553193,53.200813559322036,28.70577606177606
2021-06-30 01:40:22.848509-04:00,eastus,Standard_NC8as_T4_v3,0.175371,0.175371,0.752,0.4437214611872146,0.2857686453576865,76.67938829787235,60.47723282737329,38.63182583222371
2021-06-30 01:40:22.848509-04:00,eastus,Standard_E4s_v3,0.089586,0.089586,0.328,0.15639269406392695,0.1,72.68719512195122,42.717272992700735,10.414000000000007
2021-06-30 01:40:22.848509-04:00,eastus,Standard_H8,0.251764,-inf,0.543,0.5377853881278539,0.35300608828006086,53.63462246777164,53.18504266610062,28.679983615392906
2021-06-30 01:40:22.848509-04:00,eastus,Standard_E8s_v3,0.179172,0.179172,0.656,0.3127853881278539,0.20003805175038053,72.68719512195122,42.717272992700735,10.431041278295613
2021-06-30 01:40:22.848509-04:00,eastus,Standard_L8s_v2,0.13104,0.13104,0.624,0.39748858447488583,0.26396499238964993,79.0,67.03301550832855,50.357053481331995
2021-06-30 01:40:22.848509-04:00,eastus,Standard_H16,0.50325,-inf,3.508,1.0756849315068493,0.7060502283105022,85.6542189281642,53.21585482330469,28.7232012934519
2021-06-30 01:40:22.848509-04:00,eastus,Standard_D8s_v3,0.146995,0.146995,0.384,0.22899543378995435,0.1473744292237443,61.72005208333333,35.808763708873386,0.2574593338497445
2021-06-30 01:40:22.848509-04:00,eastus,Standard_D4s_v3,0.073498,0.073498,0.192,0.11449771689497718,0.07370624048706241,61.719791666666666,35.80832701894318,0.28252762003099163
2021-06-30 01:40:22.848509-04:00,eastus,Standard_E2_v4,0.020513,0.020513,0.126,0.07431506849315068,0.04786910197869102,83.71984126984127,72.3972534562212,57.14772337042925
2021-06-30 01:40:22.848509-04:00,eastus,Standard_E4_v4,0.041026,0.041026,0.252,0.14863013698630137,0.09577625570776256,83.71984126984127,72.3972534562212,57.16474851013111
2021-06-30 01:40:22.848509-04:00,eastus,Standard_L16s_v2,0.26208,0.26208,1.984,0.7949771689497717,0.5278919330289193,86.79032258064515,67.03301550832855,50.35347509550927
2021-06-30 01:40:22.848509-04:00,eastus,Standard_E8_v4,0.082051,0.082051,0.504,0.2973744292237443,0.1915144596651446,83.72003968253968,72.40818579654511,57.156759785416256
2021-06-30 01:40:22.848509-04:00,eastus,Standard_E4s_v4,0.041026,0.041026,0.252,0.14863013698630137,0.09577625570776256,83.71984126984127,72.3972534562212,57.16474851013111
2021-06-30 01:40:22.848509-04:00,eastus,Standard_E2s_v4,0.020513,0.020513,0.126,0.07431506849315068,0.04786910197869102,83.71984126984127,72.3972534562212,57.14772337042925
2021-06-30 01:40:22.848509-04:00,eastus,Standard_E16_v4,0.164102,0.164102,1.008,0.5947488584474886,0.3830289193302892,83.72003968253968,72.40818579654511,57.156759785416256
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_NC8as_T4_v3,0.175367,0.175367,1.015,0.6497716894977169,0.38576864535768646,82.72246305418719,73.0109817287421,54.54088814361807
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_H8m,0.42412,0.42412,2.587,1.0280821917808218,0.7392694063926941,83.60572091225357,58.74648900732844,42.629845583693644
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_D2s_v3,0.038636,0.038636,0.129,0.08139269406392693,0.055441400304414,70.04961240310077,52.53136605890602,30.31200549073439
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_E8s_v3,0.177024,0.177024,0.76,0.3763698630136986,0.2406392694063927,76.70736842105264,52.96541583257507,26.43594686907021
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_E4s_v3,0.088512,0.088512,0.38,0.18812785388127853,0.12031963470319634,76.70736842105264,52.951145631067966,26.43594686907021
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_L8s_v2,0.085058,0.085058,1.11,0.46621004566210045,0.30962709284627093,92.3371171171171,81.75543388834477,72.52888976281186
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_H8,0.316364,0.316364,1.145,0.7672374429223744,0.5516742770167428,72.36995633187773,58.76582889450974,42.653842461029114
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_H16,0.633003,-inf,2.291,1.5345890410958904,1.1033866057838662,72.37001309471847,58.75097612140148,42.630896851398425
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_L16s_v2,0.170117,0.170117,2.22,0.9325342465753425,0.6192161339421614,92.33707207207208,81.75756004406904,72.52704012781909
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_D4s_v3,0.077271,0.077271,0.258,0.16267123287671234,0.11092085235920852,70.05,52.49866947368421,30.336813722126927
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_D8s_v3,0.154542,0.154542,0.516,0.3253424657534247,0.22184170471841705,70.05,52.49866947368421,30.336813722126927
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_E2_v4,0.018438,0.018438,0.152,0.08972602739726028,0.05776255707762557,87.86973684210525,79.4507786259542,68.07966798418971
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_E2s_v4,0.018438,0.018438,0.152,0.08972602739726028,0.05776255707762557,87.86973684210525,79.4507786259542,68.07966798418971
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_E4_v4,0.036875,0.036875,0.304,0.179337899543379,0.11552511415525114,87.87006578947368,79.43825588796946,68.08053359683794
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_E16_v4,0.147501,0.147501,1.216,0.7174657534246576,0.46206240487062405,87.8699835526316,79.44138806682578,68.07768854484065
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_E4s_v4,0.036875,0.036875,0.304,0.179337899543379,0.11552511415525114,87.87006578947368,79.43825588796946,68.08053359683794
2021-06-30 01:40:22.848509-04:00,japaneast,Standard_E8_v4,0.07375,0.07375,0.608,0.358675799086758,0.2310502283105023,87.87006578947368,79.43825588796946,68.08053359683794
2021-06-30 01:40:22.848509-04:00,southindia,Standard_D2s_v3,0.029862,-inf,0.135,0.08584474885844749,0.05414764079147641,77.88000000000001,65.21394680851064,44.8507828531272
2021-06-30 01:40:22.848509-04:00,southindia,Standard_E8s_v3,0.15441,0.15441,0.667,0.42899543378995436,0.2743150684931507,76.85007496251876,64.00660989888239,43.7107116104869
